,ALL,WMO ID,NAME,LON,NOMINAL SAMPLING INTERVAL,ELEVATION,STATE,LAT,N HOURS OFFSET FROM GMT,ID,NYEARS,START,END,nyearsg,mev_10,gev_10,mev_20,gev_20,mev_50,gev_50,mev_100,gev_100
0,USC00010008  31.5702  -85.2482  139.0 AL ABBEVILLE                                                                                 15    -6,     ,ABBEVILLE                                                                        ,-85.2482,15,139.0,AL,31.5702,-6,USC00010008,70.0,1948.0,2017.0,39,137.57049748622487,131.51509141983382,161.86458484795,150.82691718452105,196.42207281400846,177.4032979589898,224.93261812656516,198.55622386575087
1,USC00010063  34.2553  -87.1814  249.3 AL ADDISON                                                                                   15    -6,     ,ADDISON                                                                          ,-87.1814,15,249.3,AL,34.2553,-6,USC00010063,68.0,1948.0,2017.0,37,126.51187798455133,113.26276509513187,145.22068864196063,122.15683174666037,170.63990271438047,132.02140194604357,190.6198909746039,138.36146940121026
2,USC00010140  32.2322  -87.4104   53.3 AL ALBERTA                                                                                   15    -6,     ,ALBERTA                                                                          ,-87.4104,15,53.3,AL,32.2322,-6,USC00010140,55.0,1963.0,2017.0,45,144.2359297563946,147.1909850649073,167.15428480790692,166.69468401089767,198.59311465010362,191.88119313701742,223.54710157836587,210.71137963225212
3,USC00010252  31.3071  -86.5226   76.2 AL ANDALUSIA 3 W                                                                             15    -6,     ,ANDALUSIA 3 W                                                                    ,-86.5226,15,76.2,AL,31.3071,-6,USC00010252,38.0,1980.0,2017.0,18,176.56489887860644,151.40264266277953,213.6445782749192,178.4336327588091,267.05564342104424,219.10287560633333,311.04714358486933,254.42154717663698
4,USC00010369  33.2941  -85.7788  311.5 AL ASHLAND 3 ENE                                                                             15    -6,     ,ASHLAND 3 ENE                                                                    ,-85.7788,15,311.5,AL,33.2941,-6,USC00010369,66.0,1948.0,2013.0,30,134.48574195196048,128.21305574246304,155.87918918539302,142.33172528674092,185.35182158512333,159.29950505167614,208.76748075784852,171.11342900734695
5,USC00010390  34.7752  -86.9508  210.0 AL ATHENS                                                                                    15    -6,     ,ATHENS                                                                           ,-86.9508,15,210.0,AL,34.7752,-6,USC00010390,36.0,1982.0,2017.0,11,126.37832060035582,123.09544331964393,147.4546753245514,154.09579369730136,178.0362777157946,209.502606506973,203.48136659089553,266.3319650630836
6,USC00010402  31.1820  -87.4390   91.4 AL ATMORE                                                                                    15    -6,     ,ATMORE                                                                           ,-87.439,15,91.4,AL,31.182,-6,USC00010402,51.0,1948.0,2017.0,35,160.20293404168783,149.30717996588194,187.99982659904168,170.40739101423264,226.9102752924994,199.23047589632182,258.18392419508757,222.00528451205759
8,USC00010748  33.6972  -87.6491  157.9 AL BERRY 3 NW                                                                                15    -6,     ,BERRY 3 NW                                                                       ,-87.6491,15,157.9,AL,33.6972,-6,USC00010748,65.0,1948.0,2017.0,29,123.22973065541343,127.70116488480045,141.80543001955027,151.70309752220996,167.60552079756283,189.09329471717294,188.38826902833122,222.6812321109387
9,USC00010957  34.2008  -86.1633  326.1 AL BOAZ                                                                                      15    -6,     ,BOAZ                                                                             ,-86.1633,15,326.1,AL,34.2008,-6,USC00010957,69.0,1948.0,2017.0,34,127.90351530191631,126.07505561224781,150.34561581670627,149.9374724765308,182.341857625764,186.6415059722807,208.5775292360889,219.20910533809382
10,USC00011099  34.9786  -85.8008  204.2 AL BRIDGEPORT 5 NW                                                                           15    -6,     ,BRIDGEPORT 5 NW                                                                  ,-85.8008,15,204.2,AL,34.9786,-6,USC00011099,36.0,1982.0,2017.0,16,133.4937372543909,124.51967330517877,154.7769569748747,137.51907780685852,183.90659764449268,153.13820133195554,206.95361019416382,164.0106759434701
11,USC00012124  32.8622  -85.7358  223.4 AL DADEVILLE 2                                                                               15    -6,     ,DADEVILLE 2                                                                      ,-85.7358,15,223.4,AL,32.8622,-6,USC00012124,70.0,1948.0,2017.0,43,125.03223440861865,122.21453765890281,144.56913242570582,144.58846143711872,171.46362046686744,180.549443303202,192.85982257863762,213.84748252972332
12,USC00012172  30.2505  -88.0775    2.4 AL DAUPHIN ISLAND #2                                                                         15    -6,     ,DAUPHIN ISLAND #2                                                                ,-88.0775,15,2.4,AL,30.2505,-6,USC00012172,43.0,1975.0,2017.0,31,224.75398049165878,214.91612423262825,268.2676782328275,234.95347143728168,329.66260049330725,256.77210734730477,379.54826401913954,270.5391388249707
13,USC00012377  31.2833  -85.4000   95.1 AL DOTHAN 4 NW                                                                               15    -6,     ,DOTHAN 4 NW                                                                      ,-85.4,15,95.1,AL,31.2833,-6,USC00012377,65.0,1952.0,2017.0,34,153.61854275187716,144.16952398307,180.86626774432298,170.36091053695412,218.27073454445772,208.92249435003254,248.00095776784568,241.71117486744635
14,USC00012675  31.2975  -85.8996  102.7 AL ENTERPRISE 4 W                                                                            15    -6,     ,ENTERPRISE 4 W                                                                   ,-85.8996,15,102.7,AL,31.2975,-6,USC00012675,46.0,1971.0,2017.0,22,156.33487675095503,168.62310417418485,185.836047504587,215.42882882603192,229.17743324805534,301.56477249233143,265.73467015191153,392.4192797811637
